T?NG H?P CÁC S?N PH?M C?A PAULA'S CHOICE SKINCARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,Mã S?n Ph?m ,Tên Ti?ng Anh,Tên Ti?ng Vi?t ,Tên nhãn hàng,Dung tích,giá bán l? niêm y?t,Th?i h?n s? d?ng,Công d?ng,H??ng d?n s? d?ng,Hình ?nh,Xu?t x?,LINK TRANG WEB PC VN,SÔ CÔNG B?,Note,,,,,,,,,,,,,,,,,,
74,7407,The UnScrub,PAULA'S CHOICE S?a r?a m?t t?y t? bào ch?t d?ng h?t tan -Lo?i nh?,PAULA'S CHOICE,15ml,"339,000",36 tháng,"CÔNG D?NG:
- Làm s?ch da t?i ?u v?i công th?c Double – Cleansing
- Lo?i b? b?i b?n, l?p makeup ch? sau 1 b??c làm s?ch 
- Làm s?ch da d?u nh? v?i h?t jojoba không gây chà sát


S?a r?a m?t The Unscrub ???c t?o ra v?i s? m?nh giúp b?n th?a mãn c? h?i ???c s? d?ng m?t s?n ph?m s?a r?a m?t d?ng h?t (scrub) nh?m t?ng c??ng làm s?ch g?p ?ôi. V?i s? khác bi?t trong công th?c và thành ph?n, ?ây chính là m?t b??c ti?n n?i b?t, hoàn toàn v??t xa so v?i nh?ng s?n ph?m d?ng h?t thông th??ng.S?a r?a m?t The Unscrub ???c t?o ra v?i s? m?nh giúp b?n th?a mãn c? h?i ???c s? d?ng m?t s?n ph?m s?a r?a m?t d?ng h?t (scrub) nh?m t?ng c??ng làm s?ch g?p ?ôi. V?i s? khác bi?t trong công th?c và thành ph?n, ?ây chính là m?t b??c ti?n n?i b?t, hoàn toàn v??t xa so v?i nh?ng s?n ph?m d?ng h?t thông th??ng.

PHÙ H?P CHO LO?I DA: Dành cho m?i lo?i da","H??NG D?N S? D?NG:

Làm ??t da m?t sau ?ó l?y m?t l??ng nh? s?n
ph?m ra tay. Nh? nhàng chuy?n ??ng theo
vòng tròn, massage k? ?? l?y ?i b?i b?n, bã
nh?n trên da r?i r?a s?ch l?i v?i n??c. ?? lo?i
l?p trang ?i?m dày, hãy l?p l?i b??c này m?t
l?n n?a.","https://drive.google.com/drive/folders/1a62dVHH-qPrpisC-bckuYp_KPpJcbISF
https://drive.google.com/drive/folders/1_BSQj61WIt_nxZeZ1L9tcawHKVAWkOow",Xu?t x? : M?,https://paulaschoice.vn/the-unscrub,https://imgur.com/a/Ne1DRt9,,,,,,,,,,,,,,,,,,,
75,7600,Resist Optiamal Results Hydrating Cleanser,PAULA'S CHOICE S?a r?a m?t d??ng ?m hi?u qu? t?i ?u,PAULA'S CHOICE,190ml,"730,000",36 tháng,"CÔNG D?NG 

- S?a r?a m?t làm m?m nh? nhàng giúp t?ng c??ng d??ng ch?t trên da trong khi ?ó v?n nh? nhàng làm s?ch và hi?u qu? trong vi?c t?y l?p trang ?i?m.
– Không gây khô hay mang l?i c?m giác rít da
– Công th?c d?ng lotion có ch?a hàm l??ng hydrat

S?a r?a m?t d??ng ?m ch?ng lão hóa RESIST Optimal Results Hydrating Cleanser là m?t s?n ph?m v?i c?u trúc d?ng lotion t?ng c??ng b?o v? t? bào nh?ng v?n làm s?ch da hi?u qu?. ??c bi?t, s?n ph?m có th? s? d?ng cho vùng quanh m?t. Nh? ?ó, làn da ???c làm s?ch toàn di?n.

Lo?i da phù h?p: Da th??ng ??n da khô, da r?t khô","H??NG D?N S? D?NG

S? d?ng ? b??c cu?i cùng trong quy trình
ch?m sóc da ban ngày. Thoa s?n ph?m này 15
phút tr??c khi ra ngoài. N?u ho?t ??ng ngoài tr?i liên t?c, nên
thoa nh?c l?i sau 2-3 ti?ng ?? b?o v? t?i ?u
cho làn da.",https://drive.google.com/drive/folders/1MM5WxrR87YciE7rbFZ53epZYRl8JNgcc,Xu?t x? : M?,https://paulaschoice.vn/resist-optimal-results-hydrating-cleanser,https://imgur.com/a/xb0E10S,,,,,,,,,,,,,,,,,,,
76,7607,Resist Optiamal Results Hydrating Cleanser -Trial size,PAULA'S CHOICE S?a r?a m?t d??ng ?m hi?u qu? t?i ?u - Lo?i nh?,PAULA'S CHOICE,30ml,"339,000",24 tháng,"CÔNG D?NG 

- S?a r?a m?t làm m?m nh? nhàng giúp t?ng c??ng d??ng ch?t trên da trong khi ?ó v?n nh? nhàng làm s?ch và hi?u qu? trong vi?c t?y l?p trang ?i?m.
– Không gây khô hay mang l?i c?m giác rít da
– Công th?c d?ng lotion có ch?a hàm l??ng hydrat

S?a r?a m?t d??ng ?m ch?ng lão hóa RESIST Optimal Results Hydrating Cleanser là m?t s?n ph?m v?i c?u trúc d?ng lotion t?ng c??ng b?o v? t? bào nh?ng v?n làm s?ch da hi?u qu?. ??c bi?t, s?n ph?m có th? s? d?ng cho vùng quanh m?t. Nh? ?ó, làn da ???c làm s?ch toàn di?n.

Lo?i da phù h?p: Da th??ng ??n da khô, da r?t khô","H??NG D?N S? D?NG

S? d?ng ? b??c cu?i cùng trong quy trình
ch?m sóc da ban ngày. Thoa s?n ph?m này 15
phút tr??c khi ra ngoài. N?u ho?t ??ng ngoài tr?i liên t?c, nên
thoa nh?c l?i sau 2-3 ti?ng ?? b?o v? t?i ?u
cho làn da.",https://drive.google.com/drive/folders/1CtxRdS-PMrlLVMO-VjrEXavbqvn54FiS,Xu?t x? : M?,https://paulaschoice.vn/resist-optimal-results-hydrating-cleanser,https://imgur.com/a/xb0E10S,,,,,,,,,,,,,,,,,,,
77,7610,Resist Barrier Repair Moisturizer,PAULA'S CHOICE  Kem d??ng tái t?o da ch?ng lão hóa ch?a Retinol ,PAULA'S CHOICE,50ml,"930,000",24 tháng,"CÔNG D?NG 
Dòng kem d??ng ?m ban ?êm dành cho da th??ng ??n da khô, cung c?p d??ng ch?t cho da ??ng th?i c?i thi?n ?? s?n ch?c mang ??n làn da r?ng r?, t??i tr?.
– Dùng cho da lão hóa, da b? n?p nh?n.
– S? d?ng t?t nh?t cho da th??ng ??n da khô.
– Công th?c c?i ti?n lo?i b? m?i v?n ?? lão hóa.


– Retinol giúp c?i thi?n d?u hi?u lão hóa cho da.
– Thành ph?n ng?m n??c, c?p ?m cho da.
– S? d?ng nh? b??c cu?i cùng c?a qui trình ch?m sóc da ban ?êm","H??NG D?N S? D?NG
L?y m?t l??ng kem v?a ??, thoa ??u lên da và
không c?n r?a l?i v?i n??c. Có th? k?t h?p
cùng lo?i kem d??ng ?m, tinh ch?t khác giúp
th?a mãn s? thích skincare.",https://drive.google.com/drive/folders/1oZrBs6nc7IGL7Cuugo3ez11awl0pnkhK,Xu?t x? : M?,https://paulaschoice.vn/resist-barrier-repair-moisturizer-with-retinol,https://imgur.com/a/4YgOP9d,,,,,,,,,,,,,,,,,,,
78,7617,Resist Barrier Repair Moisturizer -Trial size,PAULA'S CHOICE Kem d??ng tái t?o da ch?ng lão hóa ch?a Retinol  -Lo?i nh?,PAULA'S CHOICE,15ml,"399,000",24 tháng,"CÔNG D?NG 
Dòng kem d??ng ?m ban ?êm dành cho da th??ng ??n da khô, cung c?p d??ng ch?t cho da ??ng th?i c?i thi?n ?? s?n ch?c mang ??n làn da r?ng r?, t??i tr?.
– Dùng cho da lão hóa, da b? n?p nh?n.
– S? d?ng t?t nh?t cho da th??ng ??n da khô.
– Công th?c c?i ti?n lo?i b? m?i v?n ?? lão hóa.


– Retinol giúp c?i thi?n d?u hi?u lão hóa cho da.
– Thành ph?n ng?m n??c, c?p ?m cho da.
– S? d?ng nh? b??c cu?i cùng c?a qui trình ch?m sóc da ban ?êm","H??NG D?N S? D?NG
L?y m?t l??ng kem v?a ??, thoa ??u lên da và
không c?n r?a l?i v?i n??c. Có th? k?t h?p
cùng lo?i kem d??ng ?m, tinh ch?t khác giúp
th?a mãn s? thích skincare.",https://drive.google.com/drive/u/2/folders/1NUSg_V4w6W4iautBPpzkLXHfMsGMZq87,Xu?t x? : M?,https://paulaschoice.vn/resist-barrier-repair-moisturizer-with-retinol,https://imgur.com/a/4YgOP9d,,,,,,,,,,,,,,,,,,,
79,7640,Resist Super Antioxidant Concentrate Serum ,PAULA'S CHOICE Tinh ch?t  ?i?u tr? lão hóa chuyên sâu dành cho da khô,PAULA'S CHOICE,30ml,"1,250,000",24 tháng,"CÔNG D?NG 
?ây là m?t s?n ph?m làm m?n, d??ng ?m, giàu tính n?ng ch?ng lão hóa, giúp tái sinh nh?ng vùng da x?n màu và khô, ??ng th?i t?o ra l?p rào ch?n tránh cho da kh?i nh?ng tác h?i c?a môi tr??ng, và s? xu?t hi?n c?a vi?c da b? th??ng t?n do ánh n?ng m?t tr?i.

– S? d?ng cho vùng da b? lão hóa, da có n?p nh?n.

– Dùng thích h?p nh?t cho da th??ng ??n da khô.

– C?i thi?n vùng da x?n màu, không ??u màu.

– Ph?c h?p ch?t ch?ng oxi hóa b?o v? da kh?i nh?ng tác nhân c?a môi tr??ng.

– Tái sinh vùng da ?m v?i thành ph?n hydrat.

– S? d?ng ngày hai l?n sau khi r?a m?t, toner và t?y da ch?t.","H???NG DÂ?N S?? DU?NG
S? d?ng m?t ??n hai l?n m?t ngày sau b??c
r?a m?t, toner và t?y da ch?t. Nh? vài gi?t
serum ra tay b?n và thoa ??u lên m?t, c? ,
cùng quanh m?t tr??c khi bôi kem d??ng ?m
ho?c s? d?ng m?t mình. Vào ban ngày, hãy
luôn s? d?ng ch?ng n?ng có ch? s? SPF 25
ho?c cao h?n.",https://drive.google.com/drive/folders/1EQ0KVWsuYHmL1iUFNF6CNEWkeHEofduy,Xu?t x? : M?,https://paulaschoice.vn/resist-super-antioxidant-concentrate-serum,https://imgur.com/a/xxsz7PB,,,,,,,,,,,,,,,,,,,
80,7651,Resist Advanced Smoothing Treatment 10% AHA,PAULA'S CHOICE Tinh ch?t ?i?u tr? làm sáng và ?i?u màu da ch?a 10% AHA,PAULA'S CHOICE,30ml,"1,100,000",36 tháng,"CÔNG DU?NG
- Ch?a các ho?t ch?t ch?ng oxy hóa giúp c?i thi?n n?p nh?n và tình tr?ng da x?n màu
- Lo?i b? t? bào da ch?t hi?u qu? trên b? m?t, giu?p da tr? nên thông thoáng,
m?n màng
- ??y lùi n?p nh?n, góp ph?n tái sinh collagen b? m?t do tu?i tác, môi tr??ng...

Thông qua s?? kê?t h??p ???c ti?nh cu?a ca?c axit glycolic, lactic va? malic acids, RESIST ADVANCED SMOOTHING TREATMENT 10% AHA ca?i thiê?n tone ma?u da mô?t ca?ch ?a?ng kê? chi? sau mô?t lâ?n s?? du?ng. Bên ca?nh ?o?, nho?m hoa?t châ?t Peptides, Ceramides nhanh cho?ng cu?ng cô?, ta?i ta?o s?? ?a?n hô?i trên da. Nh??ng tha?nh phâ?n co?n la?i chiê?t xuâ?t t?? hoa cu?c, ha?t nho, tra? xanh, allatoin, yê?n ma?ch cu?ng cam tha?o; ?ây la? nh??ng “chiê?n binh” ba?o vê? da chô?ng la?i tô?n ha?i do a?nh n??ng m??t tr??i gây ra, la?m di?u la?n da tuyê?t ?ô?i.

Loa?i da phu? h??p: Da khô, hô?n h??p thiên khô co? dâ?u hiê?u la?o ho?a","H???NG DÂ?N S?? DU?NG

Sau khi r??a sa?ch m??t va? vô? toner, ba?n s?? du?ng sa?n phâ?m thoa lên da ?ê?u ???n 1-2 lâ?n/nga?y. Nhâ?n nhe? ?â?u n??p ?ê? lâ?y serum va? thoa ?ê?u nhe? nha?ng kh??p m??t. Không câ?n r??a la?i v??i n???c, tiê?p tu?c th??c hiê?n ca?c b???c ch?m so?c da bi?nh th???ng.",https://drive.google.com/drive/folders/14OS6Xbkaze5dM9sSF2qSxLEqr5OTtEPn,Xu?t x? : M?,https://paulaschoice.vn/resist-advanced-smoothing-treatment-10-aha,https://imgur.com/a/MGaaac7,,,,,,,,,,,,,,,,,,,
81,7660,Resist Daily Smoothing Treatment  With 5% AHA,"PAULA'S CHOICE Kem ?i?u tr? làm m?m da, lo?i b? t? bào ch?t ch?a 5% AHA",PAULA'S CHOICE,50ml,"930,000",36 tháng,"CÔNG DU?NG
- ??y lùi d?u hi?u lão hóa và làm m? các n?p nh?n sâu.
- Loa?i bo? tê? ba?o chê?t hiê?u qua?
- Cung c?p ?? ?m làm m?n làn da

RESIST Daily Smoothing Treatment With 5% AHA có tác d?ng tái t?o, khôi ph?c làn da t??i tr?, làm gi?m s? xu?t hi?n c?a n?p nh?n nh?. Công th?c ??t phá ?em t??i hi?u qu? tuy?t v?i h? tr? làm sáng da, s?n ch?c và m?n màng h?n. Ngoài ra, các thành ph?n ch?ng oxy hóa ti?m n?ng c?ng là ""?òn b?y"" giúp c?i thi?n nh?ng t? bào g?c t? do b? t?n th??ng, trong khi ceramides và chu?i các axit amin s? giúp c?p ?m cho làn da tr? nên r?ng r?.

Loa?i da phu? h??p: Da khô, da co? dâ?u hiê?u la?o ho?a","H???NG DÂ?N S?? DU?NG

S? d?ng t? 1 ??n 2 l?n/ ngày b??c r?a m?t và toner. S? d?ng l??ng nh? b?ng h?t g?o bôi cho toàn b? khuôn m?t, tránh ti?p xúc tr?c ti?p v?i m?t và môi, không c?n r?a l?i b?ng n??c. Vào ban ngày, ha?y s? d?ng cùng kem ch?ng n?ng có ch? s? SPF t?? 30 tr? lên.",https://drive.google.com/drive/folders/1oOJvlXQFxEGqvtgGXZU8gfAgJfho5CJm,Xu?t x? : M?,https://paulaschoice.vn/resist-daily-smoothing-treatment-with-5-aha,https://imgur.com/a/WLSSszt,,,,,,,,,,,,,,,,,,,
82,7667,Resist Daily Smoothing Treatment 5% AHA - Trial,PAULA'S CHOICE Dung d?ch d??ng làm m?m da 5% AHA,PAULA'S CHOICE,10ml,"499,000",24 tháng,"CÔNG D?NG
 
- Nh? nhàng làm s?ch t? bào ch?t trên b? m?t, không gây bào mòn da 
- N?ng ?? PH ly? t???ng t? 3.5 – 3.9 k?t h?p cùng 40 thành ph?n tái t?o t? bào mang l?i k?t qu? t?t nh?t cho làn da nh? c?p ?m, chô?ng oxy hóa, làm m?n và c?i thi?n nh?ng v?n ?? trên da

Lo?i b? t? bào ch?t Resist Daily Smoothing Treatment with 5% AHA l?y ?i t? bào da ch?t, khôi ph?c làn da t??i tr?, gi?m s? xu?t hi?n c?a n?p nh?n li ti. Công th?c ??t phá ?em t??i hi?u qu? tuy?t v?i h? tr? làm sáng da, s?n ch?c và m?n màng h?n. Thành ph?n ch?ng oxy hóa ti?m n?ng c?ng là “?òn b?y” giúp c?i thi?n nh?ng t? bào g?c t? do b? t?n th??ng, trong khi ceramides và chu?i các axit amin s? giúp c?p ?m cho làn da tr? nên r?ng r?.

Lo?i da phù h?p: Da khô, da r?t khô","H??NG D?N S? D?NG

S? d?ng sau b??c làm s?ch và cân b?ng da. L?y m?t l??ng v?a ??, thoa nh? lên da và không c?n r?a l?i v?i n??c.
Trong tr??ng h?p xu?t hi?n bong tróc, b?n c?n ph?i gi?m t?n su?t s? d?ng xu?ng ??ng th?i b? sung kem d??ng ?m có k?t c?u phù h?p. Vào ban ngày, hãy s? d?ng kem ch?ng n?ng có ch? s? t? SPF 30 tr? lên.",https://drive.google.com/drive/folders/1XSq_sNmnnuneOT7V_ZQfvjLvNptkICe3,Xu?t x? : M?,https://paulaschoice.vn/resist-daily-smoothing-treatment-with-5-aha,https://imgur.com/a/WLSSszt,,,,,,,,,,,,,,,,,,,
83,7670,Resist Advanced Replenishing Toner,"PAULA'S CHOICE Toner ch?ng lão hóa, b? sung chuyên sâu",PAULA'S CHOICE,118ml,"860,000",24 tháng,"CÔNG D?NG

Là m?t s?n ph?m n??c cân b?ng (Toner ) d?ng s?a ??c ?áo có ch?a hàm l??ng cao thành ph?n t?ng c??ng da giúp ch?ng l?i các d?u hi?u tu?i tác, dành cho da th??ng ??n da khô có th? tái t?o d??ng ch?t c?n thi?t ?? giúp da ch?ng l?i tác h?i ?e d?a t? môi tr??ng.

– Dành cho da có d?u hi?u lão hóa và n?p nh?n.

– T?t nh?t cho da th??ng và da khô.

– T?ng c??ng và tái sinh làn da.

– Ch?t ch?ng oxi hóa giúp ch?ng l?i các tác nhân c?a môi tr??ng.

– Cung c?p hàm l??ng ?m d?i dào lo?i b? nh?ng v?ng da khô.

– S? d?ng m?t ngày 2 l?n sau khi r?a m?t vào bu?i sáng và bu?i t?i.","H??NG D?N S? D?NG

Sau khi r?a m?t, ?? m?t l??ng nh? toner ra mi?ng bông t?y trang và nh? nhàng thoa lên toàn b? khuôn m?t, không c?n r?a l?i v??i n???c, tiê?p tu?c th??c hiê?n ca?c b???c d???ng da tiê?p theo. Vào ban ngày, b?n dùng kèm kem ch?ng n?ng có ch? s? SPF 30 tr?? lên.

 ",https://drive.google.com/drive/u/2/folders/1ZdsobDFVDhgLxHDtaaasFYqFhnYG9KG1,Xu?t x? : M?,https://paulaschoice.vn/resist-advanced-replenishing-toner,https://imgur.com/a/DhJ2jSz,,,,,,,,,,,,,,,,,,,
84,7691,Resist Resit Anti-Aging Clear Skin Hydrator,PAULA'S CHOICE Kem d??ng ?m m?m m?n cho da nh?y c?m và lão hóa,PAULA'S CHOICE,50ml,"1,050,000",24 tháng,"CÔNG D?NG

M?t s?n ph?m kem d??ng ?m d?ng gel c?c t?t dành cho da th??ng ??n da d?u có tác d?ng c?p n??c cho da ngay l?p t?c ??ng th?i d??ng và tái t?o da, mang l?i cho b?n làn da sáng màu và t??i tr?, giúp da ch?ng l?i các tác h?i t? môi tr??ng.

– Dành cho da b? lão hóa, l? chân lông to, n?p nh?n sâu
– Dành cho da th??ng ??n da d?u, da h?n h?p
– Công th?c tiên ti?n nh?m c?i thi?n làn da có d?u hi?u lão hóa và c?i thi?n tình tr?ng l? chân lông
– Vitamin C và niacinamide gúp làm sáng và m?n da
– Công th?c d?ng gel ??c ?áo
– S? d?ng nh? b??c cu?i cùng trong qui trình ch?m sóc da ban ?êm

","
H??NG D?N S? D?NG
S?n ph?m lý t??ng giúp làm m?m và m?n vùng da trên m?t, c? và vùng quanh m?t. Vào ban ?êm, s? d?ng nh? b??c cu?i cùng c?a qui trình ch?m sóc da. Vào ban ngày, dùng kèm kem ch?ng n?ng có ch? s? SPF 25 ho?c cao h?n.",https://drive.google.com/drive/folders/1IoLmryH9p6hcsfvffwwB-EieR4MzunIf,Xu?t x? : M?,https://paulaschoice.vn/resist-anti-aging-clear-skin-hydrator,https://imgur.com/a/PJ3VF1u,,,,,,,,,,,,,,,,,,,
85,7710,Resist Intensive Wrinkle - Repair Retinol Serum,PAULA'S CHOICE Serum ch?ng nh?n sâu ch?a Retinol,PAULA'S CHOICE,30ml,"1,450,000",36 tháng,"CÔNG D?NG

- Ch??a công th??c ?ô?c ?a?o t?? Retinol nguyên châ?t, châ?t chô?ng oxy ho?a t?? thiên nhiên, vitamin co? l??i cho qua? tri?nh ta?i ta?o da
- Xây d??ng nê?n ta?ng câ?u tru?c da bê?n v??ng, ng?n ng??a dâ?u hiê?u la?o ho?a mô?t ca?ch hiê?u qua? va? tro?n ve?n
- Kê?t câ?u gel lo?ng, ma?u va?ng nha?t va? da?ng ???c h?n hâ?u hê?t ca?c serum kha?c. Khi thoa lên da se? mê?m mi?n, bo?ng v??a pha?i

Tinh ch?t ch?ng nh?n Resist Intensive Wrinkle - Repair Retinol Serum gia?m ca?c vê?t thâm do mu?n ?ê? la?i, khôi phu?c mâ?n ?o?, ki?ch ??ng. N?ng ?? 0.1% retinol trong s?n ph?m giúp tre? ho?a da, ch??a la?nh th??ng tô?n trên da do ta?c ?ô?ng t?? a?nh n??ng m??t tr??i cùng thành ph?n có l?i khác t?ng c???ng sa?n sinh collagen, ca?i thiê?n ?ô? ?a?n hô?i, ng?n ng??a la?o ho?a, ng?n ch??n gô?c t?? do pha?t triê?n.

Lo?i da phù h?p: M?i lo?i da, ???c biê?t da co? dâ?u hiê?u la?o ho?a","H??NG D?N S? D?NG

S?? du?ng sa?n phâ?m sau b???c r??a m??t, toner va? tâ?y tê? ba?o chê?t. Nho? 2- 3 gio?t serum lên vu?ng m??t va? cô?, tiê?p tu?c du?ng kem d???ng â?m ?ê? “kho?a” d???ng châ?t, ng?n ng??a ti?nh tra?ng bay h?i. Nê?u s?? du?ng va?o ban nga?y, nên kê?t h??p cu?ng kem chô?ng n??ng co? chi? sô? SPF 30 tr?? lên.",https://drive.google.com/drive/folders/18KRB-4ApAQUW7Q2f_Nc44IzUmxvst7qY,Xu?t x? : M?,https://paulaschoice.vn/resist-intensive-wrinkle-repair-retinol-serum,https://imgur.com/a/eA8NX7H,,,,,,,,,,,,,,,,,,,
86,7717,Resist Intensive Wrinkle - Repair Retinol Serum - Trial,PAULA'S CHOICE Serum ch?ng nh?n sâu ch?a Retinol,PAULA'S CHOICE,7ml,"390,000",24 tháng,"CÔNG D?NG

- Ch??a công th??c ?ô?c ?a?o t?? Retinol nguyên châ?t, châ?t chô?ng oxy ho?a t?? thiên nhiên, vitamin co? l??i cho qua? tri?nh ta?i ta?o da
- Xây d??ng nê?n ta?ng câ?u tru?c da bê?n v??ng, ng?n ng??a dâ?u hiê?u la?o ho?a mô?t ca?ch hiê?u qua? va? tro?n ve?n
- Kê?t câ?u gel lo?ng, ma?u va?ng nha?t va? da?ng ???c h?n hâ?u hê?t ca?c serum kha?c. Khi thoa lên da se? mê?m mi?n, bo?ng v??a pha?i

Tinh ch?t ch?ng nh?n Resist Intensive Wrinkle - Repair Retinol Serum gia?m ca?c vê?t thâm do mu?n ?ê? la?i, khôi phu?c mâ?n ?o?, ki?ch ??ng. N?ng ?? 0.1% retinol trong s?n ph?m giúp tre? ho?a da, ch??a la?nh th??ng tô?n trên da do ta?c ?ô?ng t?? a?nh n??ng m??t tr??i cùng thành ph?n có l?i khác t?ng c???ng sa?n sinh collagen, ca?i thiê?n ?ô? ?a?n hô?i, ng?n ng??a la?o ho?a, ng?n ch??n gô?c t?? do pha?t triê?n.

Lo?i da phù h?p: M?i lo?i da, ???c biê?t da co? dâ?u hiê?u la?o ho?a","H??NG D?N S? D?NG

S?? du?ng sa?n phâ?m sau b???c r??a m??t, toner va? tâ?y tê? ba?o chê?t. Nho? 2- 3 gio?t serum lên vu?ng m??t va? cô?, tiê?p tu?c du?ng kem d???ng â?m ?ê? “kho?a” d???ng châ?t, ng?n ng??a ti?nh tra?ng bay h?i. Nê?u s?? du?ng va?o ban nga?y, nên kê?t h??p cu?ng kem chô?ng n??ng co? chi? sô? SPF 30 tr?? lên.",https://drive.google.com/drive/folders/18KRB-4ApAQUW7Q2f_Nc44IzUmxvst7qY,Xu?t x? : M?,https://paulaschoice.vn/resist-intensive-wrinkle-repair-retinol-serum,https://imgur.com/a/eA8NX7H,,,,,,,,,,,,,,,,,,,
87,7720,Resist Pure Radiance Skin Brightening Treatment,PAULA'S CHOICE Dung d?ch ?i?u tr? làm sáng da,PAULA'S CHOICE,30ml,"1,350,000",36 tháng,"CÔNG D?NG: 
- Có tác d?ng làm sáng và tái sinh vùng da s?m màu, khô và thi?u cân b?ng.
- K?t c?u nh? nhàng, giúp da m?m m?i nh? l?a, d? dàng th?m hút sâu vào trong da.
- Cung c?p hàm l??ng Hydrat thi?t y?u, b? sung ?? ?m t?i ?u cho da
- Kích thích s? s?n sinh collagen, c?i thi?n b? m?t và ?? ?àn h?i da và ch?ng lão hóa

Tinh ch?t c?i thi?n nám làm sáng da RESIST Pure Radiance Skin Brightening Treatment v?i s? k?t h?p hoàn h?o c?a “thành ph?n vàng” – Niacinamide và các ho?t ch?t  thi?t y?u t? th?c v?t giúp gi?m các v?t thâm m?n, tàn nhang, ??nh hình l?i c?u trúc da mang l?i cho b?n làn da r?ng r?, t??i tr? trong th?i gian ng?n nh?t.

PHÙ H?P V?I LO?I DA: M?i lo?i da 
","H??NG D?N S? D?NG 

Sau b??c r?a m?t và toner, thoa m?t l??ng nh?
s?n ph?m lên da, dùng t? 1 ??n 2 l?n m?i ngày
tr??c khi dùng kem d??ng ?m. Có th? s? d?ng
s?n ph?m nh? m?t l?p lót tr??c khi makeup. Vào
ban ngày, c?n dùng kem ch?ng n?ng SPF 30 tr?
lên ?? b?o v? da.",https://drive.google.com/drive/folders/10hllr86toNJhwfbt0J0XLh0z8Czf_14r,Xu?t x? : M?,https://paulaschoice.vn/resist-pure-radiance-skin-brightening-treatment,https://imgur.com/a/cClpqy1,,,,,,,,,,,,,,,,,,,
88,7730,Skin Perfecting BHA 9 (9% Salicylic Acid) ,PAULA'S CHOICE Tinh ch?t ?i?u tr? m?n cao c?p 9% BHA,PAULA'S CHOICE,9ml,"1,650,000",24 tháng,"CÔNG D?NG: 
Resist BHA 9 n?i b?t v?i thành ph?n Salycilic acid giúp làm bay nhanh chóng nh?ng n?t m?n li ti, ??m ??, c?i thi?n kích th??c l? chân lông và khôi ph?c l?i c?u trúc b? m?t da. C?i thi?n làn da b?n ngay t? l?n ??u s? d?ng.

– Làm gi?m d?u hi?u lão hóa, c?i thi?n kích th??c l? chân lông.

– Dùng cho m?i lo?i da.

– Ki?m soát và duy trì k?t qu? t?t nh?t v?i công th?c ??c nh?t có ch?a salycilic acid.

– Khôi ph?c c?u trúc b? m?t da và làm m?n da.

– S? d?ng sau b??c s?a r?a m?t và toner, hãy nh? s? d?ng serum và kem d??ng ?m.","H??NG D?N S? D?NG 
Vào bu?i t?i, có th? dùng ngay sau khi r?a m?t
và thoa toner. L?y m?t l??ng nh? v?a ph?i ra
??u ngón tay s?ch, ch?m nh? nhàng lên nh?ng
vùng c?n lo?i b?
",https://drive.google.com/drive/folders/1XDAFHhw8ZinE2irHvQnPGpPCnK2m6Ysb,Xu?t x? : M?,https://paulaschoice.vn/resist-bha-9,https://imgur.com/a/XshUy5c,,,,,,,,,,,,,,,,,,,
89,7739,Skin Perfecting BHA 9 (9% Salicylic Acid) - Trial,PAULA'S CHOICE Tinh ch?t ?i?u tr? m?n cao c?p 9% BHA - Lo?i nh?,PAULA'S CHOICE,0.83ml,"319,000",24 tháng,"CÔNG D?NG: 
Resist BHA 9 n?i b?t v?i thành ph?n Salycilic acid giúp làm bay nhanh chóng nh?ng n?t m?n li ti, ??m ??, c?i thi?n kích th??c l? chân lông và khôi ph?c l?i c?u trúc b? m?t da. C?i thi?n làn da b?n ngay t? l?n ??u s? d?ng.

– Làm gi?m d?u hi?u lão hóa, c?i thi?n kích th??c l? chân lông.

– Dùng cho m?i lo?i da.

– Ki?m soát và duy trì k?t qu? t?t nh?t v?i công th?c ??c nh?t có ch?a salycilic acid.

– Khôi ph?c c?u trúc b? m?t da và làm m?n da.

– S? d?ng sau b??c s?a r?a m?t và toner, hãy nh? s? d?ng serum và kem d??ng ?m.","H??NG D?N S? D?NG 
Vào bu?i t?i, có th? dùng ngay sau khi r?a m?t
và thoa toner. L?y m?t l??ng nh? v?a ph?i ra
??u ngón tay s?ch, ch?m nh? nhàng lên nh?ng
vùng c?n lo?i b?
",https://drive.google.com/drive/folders/1XDAFHhw8ZinE2irHvQnPGpPCnK2m6Ysb,Xu?t x? : M?,https://paulaschoice.vn/resist-bha-9,https://imgur.com/a/XshUy5c,,,,,,,,,,,,,,,,,,,
